"","X.Intercept.","lgHz"
"l20:b06",1.95482230108429,-0.893565867347671
"l20:b07",1.84619290360491,-0.84069205210948
"l20:b08",1.9644382878416,-0.866957624944757
"l20:b09",1.87996138475992,-0.89206147062083
"l20:b10",1.88461682629763,-0.867293206158905
"l20:b11",2.06064127195862,-0.940665715469525
"l20:b12",1.70079424966215,-0.776608712599933
"l20:b13",1.85319337073405,-0.790644173093963
"l20:b14",1.81634546379635,-0.792001455031359
"l20:b15",1.78686074481701,-0.785166235079184
"l20:b16",1.82344989402714,-0.803313686393129
"l20:b17",1.90190932474911,-0.845640143924704
"l20:b18",1.80068197564037,-0.807217266588137
"l20:b19",1.81433289891285,-0.794058281178961
"l20:b20",1.88157053878105,-0.805777646051397
"l20:posttest",2.58463093503143,-1.17371704732038
"l20:pretest",2.13454028000098,-1.01477332457635
"l21:b01",3.48538174839425,-1.31668088836133
"l21:b02",3.41220070583156,-1.28232098759124
"l21:b03",3.78093918797569,-1.46722413898757
"l21:b04",3.69950066391996,-1.41612661159073
"l21:b05",3.59658317964703,-1.35495154172271
"l21:b06",3.96634166541503,-1.53764763198675
"l21:b07",3.69713878071357,-1.42779654568851
"l21:b08",3.81393063494387,-1.45583821360253
"l21:b09",3.84481824288189,-1.47622532441806
"l21:b10",3.72742387888194,-1.43025597873005
"l21:b11",3.9640951891635,-1.53433614871904
"l21:b12",3.78587171835234,-1.45916043960473
"l21:b13",3.95155739333177,-1.54218084153476
"l21:b14",3.74742052386304,-1.48322454174795
"l21:b15",3.62974791135543,-1.41459078883189
"l21:b16",3.63370668983057,-1.37022496259959
"l21:b17",3.61562542007369,-1.40025378189539
"l21:b18",3.60979190745015,-1.40193710593511
"l21:b19",3.70215529362698,-1.40758457937158
"l21:b20",3.94884019050461,-1.56172051972532
"l21:posttest",3.45671884654698,-1.20561550639289
"l21:pretest",3.40138916757873,-1.21651694105356
"l22:b01",3.4411589905373,-1.44496283884705
"l22:b02",3.66168154475271,-1.69314832047846
"l22:b03",3.68744932932712,-1.711501619373
"l22:b04",3.783815566525,-1.73051425416952
"l22:b05",3.69759816885931,-1.65770767007427
"l22:b06",3.70627657540099,-1.70416869760915
"l22:b07",3.63447443465521,-1.66591932448832
"l22:b08",3.3668539901557,-1.50452931684264
