subID,time,method,channel,ints,slope
a05,C,lmer,frontal,1.440563079,-0.717310513
a05,C,lmer,central,2.642656737,-1.081457115
a05,C,lmer,parietal,2.776984208,-1.078137662
a05,C,lmer,occipital,2.769101656,-1.044298066
a05,C,fooof,frontal,0.5717,0.6818
a05,C,fooof,central,1.0116,1.0089
a05,C,fooof,parietal,1.03707192,0.99562523
a05,C,fooof,occipital,1.03840931,1.01849714
a06,A,lmer,frontal,2.350401868,-1.079767641
a06,A,lmer,central,3.05075461,-1.377517716
a06,A,lmer,parietal,3.301238633,-1.530413178
a06,A,lmer,occipital,3.354276641,-1.46269
a06,A,fooof,frontal,0.95589571,1.03437677
a06,A,fooof,central,1.18521775,1.28506375
a06,A,fooof,parietal,1.34505216,1.49568782
a06,A,fooof,occipital,1.38619287,1.49372535
a06,B,lmer,frontal,2.576135849,-1.214404354
a06,B,lmer,central,3.654917907,-1.638850113
a06,B,lmer,parietal,3.62246386,-1.655856655
a06,B,lmer,occipital,3.461810568,-1.526873264
a06,B,fooof,frontal,0.958139092,1.208252072
a06,B,fooof,central,1.237511608,1.518962929
a06,B,fooof,parietal,1.238180511,1.519225189
a06,B,fooof,occipital,1.282524806,1.525511812
a06,C,lmer,frontal,3.803605597,-1.362573208
a06,C,lmer,central,3.863150573,-1.625775259
a06,C,lmer,parietal,4.037387018,-1.754882552
a06,C,lmer,occipital,4.043434939,-1.642416727
a06,C,fooof,frontal,1.54200016,1.28205501
a06,C,fooof,central,1.56772714,1.57024679
a06,C,fooof,parietal,1.66705995,1.74015851
a06,C,fooof,occipital,1.64289966,1.66925293
a07,A,lmer,frontal,1.322342059,-0.260870651
a07,A,lmer,central,2.947746386,-0.908104428
a07,A,lmer,parietal,3.09670048,-0.966234155
a07,A,lmer,occipital,3.22252136,-0.870017671
a07,A,fooof,frontal,0.16942706,-0.03641297
a07,A,fooof,central,1.12202797,0.83469082
a07,A,fooof,parietal,1.16175309,0.89307284
a07,A,fooof,occipital,1.18888347,0.79667934
a07,B,lmer,frontal,1.547498865,-0.51172495
a07,B,lmer,central,3.284458269,-1.192090477
a07,B,lmer,parietal,3.329630269,-1.276997272
a07,B,lmer,occipital,3.052498831,-1.154032187
a07,B,fooof,frontal,0.795126081,0.759329498
a07,B,fooof,central,1.425161063,1.398048727
a07,B,fooof,parietal,1.393712731,1.462346726
a07,B,fooof,occipital,1.310873617,1.375832955
a07,C,lmer,frontal,2.228695529,-0.432102232
a07,C,lmer,central,2.619746462,-0.815713387
a07,C,lmer,parietal,2.880262323,-1.059503362
a07,C,lmer,occipital,2.530265068,-0.866470385
a07,C,fooof,frontal,0.93267663,0.38882356
a07,C,fooof,central,1.02817955,0.75524456
a07,C,fooof,parietal,1.10843229,0.99473764
a07,C,fooof,occipital,0.90118114,0.76214706
a08,A,lmer,frontal,2.729785387,-1.511846971
a08,A,lmer,central,3.933267509,-1.918591682
a08,A,lmer,parietal,3.439277781,-1.760906974
a08,A,lmer,occipital,3.491080142,-1.694763164
a08,A,fooof,frontal,1.1625984,1.51473258
a08,A,fooof,central,1.55953473,1.85058106
a08,A,fooof,parietal,1.34875907,1.70038539
a08,A,fooof,occipital,1.44353263,1.71779861
a08,B,lmer,frontal,3.120849894,-1.475232785
a08,B,lmer,central,4.05894739,-1.788059738
a08,B,lmer,parietal,3.661646067,-1.683640818
a08,B,lmer,occipital,3.530424465,-1.567644748
a08,B,fooof,frontal,1.178420932,1.425216438
a08,B,fooof,central,1.447545983,1.638291729
a08,B,fooof,parietal,1.335899173,1.590872815
a08,B,fooof,occipital,1.306829957,1.530511632
a08,C,lmer,frontal,3.352129618,-1.842569671
a08,C,lmer,central,4.462803055,-2.061956205
a08,C,lmer,parietal,4.466053975,-2.047581585
a08,C,lmer,occipital,4.405189944,-1.99028363
a08,C,fooof,frontal,1.3522,1.7926
a08,C,fooof,central,1.8281,2.0358
a08,C,fooof,parietal,1.86675189,2.07057286
a08,C,fooof,occipital,1.90671346,2.07977782
a09,A,lmer,frontal,2.976280817,-1.442705373
a09,A,lmer,central,3.096675126,-1.323605286
a09,A,lmer,parietal,2.860058565,-1.246460608
a09,A,lmer,occipital,2.669825791,-1.141769738
a09,A,fooof,frontal,1.21420094,1.42379859
a09,A,fooof,central,1.15542729,1.25065623
a09,A,fooof,parietal,1.03077902,1.18799259
a09,A,fooof,occipital,1.00978923,1.12368968
a09,B,lmer,frontal,3.556629996,-1.610783766
a09,B,lmer,central,3.365008094,-1.431597175
a09,B,lmer,parietal,3.08797069,-1.357030814
a09,B,lmer,occipital,3.038527404,-1.286658799
a09,B,fooof,frontal,1.437805097,1.666015026
a09,B,fooof,central,1.373525995,1.561574764
a09,B,fooof,parietal,1.253021318,1.478874479
a09,B,fooof,occipital,1.196875522,1.370808758
a09,C,lmer,frontal,3.519763553,-1.029958565
a09,C,lmer,central,2.986654705,-1.150434915
a09,C,lmer,parietal,2.683631508,-1.110604578
a09,C,lmer,occipital,2.294849979,-0.988913878
a09,C,fooof,frontal,1.46086345,1.02069782
a09,C,fooof,central,1.04108826,1.01581306
a09,C,fooof,parietal,0.85415434,0.85415434
a09,C,fooof,occipital,0.77285631,0.89752262
a10,A,lmer,frontal,1.684829898,-1.095609985
a10,A,lmer,central,3.246883432,-1.712886479
a10,A,lmer,parietal,2.934682803,-1.580192521
a10,A,lmer,occipital,1.808985415,-1.020430923
a10,A,fooof,frontal,0.00584371,0.52528851
a10,A,fooof,central,1.09531386,1.47346144
a10,A,fooof,parietal,1.24090981,1.55877792
a10,A,fooof,occipital,0.68796021,0.95504166
a10,B,lmer,frontal,2.486460762,-1.453745446
a10,B,lmer,central,3.957968951,-1.941307418
a10,B,lmer,parietal,3.495760374,-1.73510944
a10,B,lmer,occipital,2.474612263,-1.246398251
a10,B,fooof,frontal,0.86078978,1.365262209
a10,B,fooof,central,1.345298489,1.732513544
a10,B,fooof,parietal,1.228262332,1.554359978
a10,B,fooof,occipital,0.91508185,1.177627071
a10,C,lmer,frontal,2.580023874,-1.623258927
a10,C,lmer,central,3.51617224,-1.861955303
a10,C,lmer,parietal,3.052949137,-1.634023085
a10,C,lmer,occipital,1.911664595,-1.042483648
a10,C,fooof,frontal,1.135,1.6416
a10,C,fooof,central,1.252,1.5525
a10,C,fooof,parietal,1.12821555,1.47638996
a10,C,fooof,occipital,0.75560339,0.97845185
a11,A,lmer,frontal,2.666859658,-1.278989099
a11,A,lmer,central,3.393918306,-1.488617074
a11,A,lmer,parietal,3.556471571,-1.596047363
a11,A,lmer,occipital,3.467703946,-1.550458829
a11,A,fooof,frontal,1.16249307,1.28212629
a11,A,fooof,central,1.39049407,1.44150838
a11,A,fooof,parietal,1.52370474,1.64234884
a11,A,fooof,occipital,1.47853356,1.61397685
a11,B,lmer,frontal,3.066167387,-1.280893956
a11,B,lmer,central,3.554848625,-1.453459508
a11,B,lmer,parietal,3.494281279,-1.481269537
a11,B,lmer,occipital,3.103549021,-1.345912815
a11,B,fooof,frontal,1.150938149,1.202552372
a11,B,fooof,central,1.342309383,1.37035977
a11,B,fooof,parietal,1.295354331,1.349574982
a11,B,fooof,occipital,1.239403518,1.337061167
a11,C,lmer,frontal,2.822354522,-1.333339207
a11,C,lmer,central,3.222700871,-1.412591083
a11,C,lmer,parietal,3.622220241,-1.583860464
a11,C,lmer,occipital,3.341888993,-1.490183906
a11,C,fooof,frontal,1.2354,1.3412
a11,C,fooof,central,1.3206,1.3606
a11,C,fooof,parietal,1.50009535,1.58732477
a11,C,fooof,occipital,1.43921279,1.58386658
a12,A,lmer,frontal,2.052945382,-1.120550532
a12,A,lmer,central,3.384998027,-1.466306525
a12,A,lmer,parietal,3.58132197,-1.544278646
a12,A,lmer,occipital,3.371165118,-1.47243575
a12,A,fooof,frontal,0.7906125,1.07110185
a12,A,fooof,central,1.4034054,1.49679192
a12,A,fooof,parietal,1.42035686,1.5038864
a12,A,fooof,occipital,1.38584609,1.46473008
a12,B,lmer,frontal,1.964866562,-1.013341545
a12,B,lmer,central,3.701640437,-1.604450029
a12,B,lmer,parietal,3.711224394,-1.648807523
a12,B,lmer,occipital,3.348515996,-1.49698793
a12,B,fooof,frontal,0.699382801,0.956096369
a12,B,fooof,central,1.38500098,1.51240972
a12,B,fooof,parietal,1.399705191,1.574234015
a12,B,fooof,occipital,1.325837893,1.506051107
a12,C,lmer,frontal,1.963617726,-1.0236768
a12,C,lmer,central,3.298086844,-1.450363298
a12,C,lmer,parietal,3.411798327,-1.472371023
a12,C,lmer,occipital,3.277199698,-1.417443923
a12,C,fooof,frontal,0.7576,0.9664
a12,C,fooof,central,1.3068,1.3852
a12,C,fooof,parietal,1.37545246,1.50287672
a12,C,fooof,occipital,1.38655534,1.52809518
a13,A,lmer,frontal,2.908865136,-1.482811347
a13,A,lmer,central,3.759004835,-1.620163915
a13,A,lmer,parietal,4.284518465,-1.747616951
a13,A,lmer,occipital,4.342183747,-1.618759237
a13,A,fooof,frontal,1.09080718,1.40216706
a13,A,fooof,central,1.35868592,1.49122548
a13,A,fooof,parietal,1.59032518,1.65677362
a13,A,fooof,occipital,1.63671493,1.55156751
a13,B,lmer,frontal,2.760792762,-1.284961675
a13,B,lmer,central,3.339663131,-1.373691623
a13,B,lmer,parietal,3.345094208,-1.371190108
a13,B,lmer,occipital,3.427585333,-1.379869539
a13,B,fooof,frontal,1.066495276,1.243330253
a13,B,fooof,central,1.259575811,1.304716088
a13,B,fooof,parietal,1.232310556,1.27171366
a13,B,fooof,occipital,1.336587227,1.374468198
a13,C,lmer,frontal,3.343775669,-1.507973233
a13,C,lmer,central,4.402342562,-1.751386034
a13,C,lmer,parietal,5.236435191,-1.993347255
a13,C,lmer,occipital,5.321801649,-1.855475298
a13,C,fooof,frontal,1.2502,1.4085
a13,C,fooof,central,1.5956,1.5957
a13,C,fooof,parietal,1.96363105,1.87750589
a13,C,fooof,occipital,2.0487131,1.77984505
a14,A,lmer,frontal,1.259017068,-0.796809884
a14,A,lmer,central,2.463701131,-0.996413933
a14,A,lmer,parietal,2.37786092,-0.884224784
a14,A,lmer,occipital,2.037885212,-0.742412961
a14,A,fooof,frontal,0.56932307,0.8671426
a14,A,fooof,central,1.07708098,1.06553165
a14,A,fooof,parietal,0.87836216,0.80002303
a14,A,fooof,occipital,0.77111634,0.75270386
a14,B,lmer,frontal,2.365564857,-1.29251476
a14,B,lmer,central,3.524003092,-1.471389812
