Subject,Block,Condition,Group,Fr_Slope,Fr_Offset,Fr_R2,Cn_Slope,Cn_Offset,Cn_R2,Pr_Slope,Pr_Offset,Pr_R2,Occ_Slope,Occ_Offset,Occ_R2
26,6,practice,yoked,1.605393642,1.544841488,0.993017359,1.625216338,1.613478529,0.995166195,1.632037771,1.575887405,0.993725157,1.427257622,1.384277308,0.989701139
26,7,practice,yoked,1.708467013,1.655618189,0.987154576,1.695161701,1.685004124,0.99496791,1.66164837,1.646210558,0.996549963,1.507461287,1.530299948,0.991261242
26,8,practice,yoked,1.575910844,1.466783006,0.992552974,1.615714335,1.58996664,0.991957229,1.637936068,1.583904881,0.996464999,1.471567796,1.452443011,0.990434495
26,9,practice,yoked,1.873783179,1.786247624,0.989296544,1.826249297,1.837107901,0.992690981,1.719032109,1.691296767,0.995426136,1.435570058,1.393231352,0.995985404
26,10,practice,yoked,1.71892218,1.64653044,0.991264944,1.68136234,1.692774541,0.989560164,1.602881089,1.608312942,0.980636485,1.413693359,1.414560624,0.987649469
26,11,practice,yoked,1.673360786,1.574844111,0.994376862,1.682934707,1.687686163,0.989076891,1.690683972,1.662232775,0.997051804,1.509362722,1.489315661,0.996460312
26,12,practice,yoked,1.781135061,1.709141329,0.992399272,1.668765022,1.648651502,0.990851162,1.724067643,1.714475165,0.992767619,1.525090612,1.522321645,0.996455174
26,13,practice,yoked,1.667658438,1.586926595,0.9929041,1.638239218,1.626373498,0.991147414,1.595803654,1.554908576,0.993977097,1.459902457,1.456744464,0.994562463
26,14,practice,yoked,1.705016969,1.607790115,0.99543395,1.654881886,1.622376533,0.996031966,1.655807485,1.611446728,0.993068839,1.506522884,1.466375987,0.991583695
26,15,practice,yoked,1.746467233,1.632343412,0.989982386,1.808292319,1.790835734,0.994579656,1.798718566,1.767166535,0.997878654,1.605867827,1.576781327,0.995631478
26,16,practice,yoked,1.756664134,1.638600027,0.996902697,1.765716155,1.754167033,0.997315262,1.728003533,1.71100672,0.998087684,1.531918324,1.528491653,0.991902927
26,17,practice,yoked,1.776016901,1.61415425,0.995004441,1.681941524,1.617846821,0.993248032,1.749078059,1.673847924,0.994695893,1.553192734,1.478490872,0.996149744
26,18,practice,yoked,1.668790514,1.574416729,0.984703544,1.619675611,1.571341376,0.992589788,1.651111491,1.58416254,0.99464522,1.52012812,1.485012416,0.993717759
26,19,practice,yoked,1.655478133,1.579178059,0.982312071,1.67008259,1.665124251,0.991077912,1.670897454,1.651092111,0.987111325,1.557824956,1.547971848,0.993289456
26,20,practice,yoked,1.583801397,1.514118354,0.989486034,1.691428982,1.667364047,0.996352275,1.75498721,1.715649245,0.997248675,1.568601197,1.572632843,0.995346662
26,NA,post,yoked,1.356136353,1.005673322,0.989422552,1.519652343,1.2646137,0.994500501,1.555050688,1.29226891,0.971024296,1.468130458,1.239886643,0.9884303
26,NA,pre,yoked,1.505412811,1.18791497,0.990095532,1.554007189,1.407773966,0.957925959,1.562457984,1.338704806,0.979598861,1.519243397,1.305886723,0.982782813
27,1,practice,yoked,0.525532289,0.145485559,0.848318859,1.203882376,1.059245237,0.956724942,1.304660127,1.117929035,0.980572289,1.194736843,0.98009273,0.959982832
27,2,practice,yoked,0.950844263,0.58637203,0.887222959,1.44821842,1.281142062,0.994251366,1.371375643,1.164342437,0.981349974,1.266648758,1.027620937,0.962184199
27,3,practice,yoked,0.875291634,0.501872095,0.879837868,1.354081685,1.205055058,0.997521395,1.390566972,1.204079283,0.996042966,1.261658282,1.02556529,0.9744633
27,4,practice,yoked,0.951538992,0.539590089,0.9121331,1.448530339,1.303085722,0.980897858,1.605264096,1.444300693,0.98768247,1.498119478,1.291975822,0.986168388
27,5,practice,yoked,1.030473843,0.636061992,0.922190226,1.43841428,1.285994414,0.991115635,1.492722724,1.304723352,0.989437303,1.438881504,1.216253714,0.987004862
27,6,practice,yoked,1.530931097,1.115246175,0.971374637,1.480566124,1.320548465,0.994183037,1.565145237,1.379671054,0.993460893,1.372235387,1.160005108,0.968480059
27,7,practice,yoked,1.148923727,0.763590937,0.987925522,1.542947397,1.416156186,0.993229929,1.51946776,1.370586169,0.989546375,1.489046708,1.24536796,0.995001545
27,8,practice,yoked,1.221264197,0.753910313,0.946856454,1.608156904,1.452733581,0.969377133,1.419319688,1.25320068,0.968449403,1.263612553,1.058021535,0.975951439
27,9,practice,yoked,0.815952718,0.485888177,0.898391445,1.451244339,1.387560119,0.973555095,1.346200852,1.242877545,0.960266551,1.259606181,1.132843139,0.963529312
27,10,practice,yoked,1.096719961,0.77495508,0.896565994,1.583087817,1.467873786,0.986331514,1.427245706,1.287521859,0.972970199,1.203645835,1.007916028,0.977970427
27,11,practice,yoked,1.475000947,1.059546699,0.985667499,1.574811306,1.434291641,0.987252418,1.510180025,1.378866406,0.985723796,1.441691539,1.232817788,0.99481894
27,12,practice,yoked,1.198257463,0.757223331,0.965531573,1.738379243,1.584359054,0.993100173,1.629755949,1.440982196,0.98950507,1.423033338,1.184055624,0.985430187
27,13,practice,yoked,1.62322064,1.205221359,0.98138188,1.630735136,1.511740349,0.988944215,1.545660447,1.371403152,0.986440248,1.470327789,1.24728694,0.979512965
27,14,practice,yoked,1.75313887,1.32424803,0.977438219,1.781518397,1.657018084,0.983212022,1.477395866,1.325227926,0.969068583,1.365615666,1.152761728,0.978980862
27,15,practice,yoked,1.435989692,0.997893751,0.967766726,1.608525578,1.453403203,0.981397047,1.390081115,1.215135261,0.979610636,1.303068814,1.086514739,0.983678676
27,16,practice,yoked,1.367358802,0.98233954,0.945867128,1.63357733,1.489187649,0.984147614,1.453861642,1.306512918,0.986807707,1.279259319,1.114931603,0.982988245
27,17,practice,yoked,1.469218949,1.096116522,0.965405381,1.604739003,1.490418747,0.98188883,1.545527053,1.392501557,0.993244101,1.376677382,1.135252579,0.993272299
27,18,practice,yoked,1.641922167,1.197099443,0.994396683,1.72093296,1.567630419,0.992160773,1.641725781,1.462814331,0.99520241,1.487514409,1.247199719,0.990399749
27,19,practice,yoked,1.623229821,1.216724494,0.981791268,1.689715015,1.558953766,0.991147094,1.562320029,1.403070544,0.99128825,1.410785675,1.188220523,0.971685931
27,20,practice,yoked,1.445095361,1.003556479,0.98693987,1.616537434,1.512014095,0.987464481,1.600946525,1.455450083,0.984447354,1.45089697,1.225830712,0.988641432
27,NA,post,yoked,0.811036655,0.495695088,0.877727168,1.200454682,1.042971607,0.983451134,1.153469788,0.99442999,0.928023333,1.32154304,1.117997896,0.976099938
27,NA,pre,yoked,0.923976046,0.544070563,0.917436136,1.157567138,0.957949093,0.990711941,1.119708946,0.92460178,0.945292305,1.397481699,1.163673039,0.959345346
28,1,practice,yoked,1.084177147,0.732766193,0.810889985,1.555461061,1.364096446,0.973168698,1.711558611,1.532853276,0.996094471,1.634525054,1.450050616,0.995100778
28,2,practice,yoked,1.268608799,0.857157725,0.920719923,1.829435077,1.565343347,0.996144752,1.811330541,1.592288262,0.99506277,1.722183162,1.564730934,0.996402334
28,3,practice,yoked,1.316950389,0.890398305,0.938468927,1.889531497,1.644777683,0.998761363,1.841083757,1.633446918,0.99682628,1.693375647,1.526088947,0.99634217
28,4,practice,yoked,1.425280434,0.97907412,0.976159674,1.736973645,1.511218034,0.989968921,1.766378524,1.573583607,0.993858373,1.678493231,1.511561341,0.996025354
28,5,practice,yoked,1.367535829,0.956702379,0.947756076,1.81763112,1.584126801,0.985823622,1.86803387,1.676793384,0.998238247,1.644082957,1.503993588,0.995259288
28,6,practice,yoked,1.108921672,0.68670835,0.920071355,1.74375995,1.521650512,0.989634242,1.746916704,1.523766856,0.994657297,1.616308175,1.416986541,0.992813466
28,7,practice,yoked,1.332279876,0.842025868,0.9946352,1.843246715,1.614585881,0.99732052,1.821145869,1.593622242,0.993765897,1.64660832,1.435666675,0.995713095
28,8,practice,yoked,1.303259827,0.876121994,0.925791435,1.81111167,1.571867173,0.99815579,1.787442764,1.625499729,0.99721412,1.684004668,1.584155484,0.997506743
28,9,practice,yoked,1.151165509,0.719190812,0.877962582,1.763633478,1.523401661,0.993347406,1.748725525,1.536179017,0.993289964,1.606544337,1.459733466,0.996670424
28,10,practice,yoked,1.522634278,1.07076148,0.986929754,1.800817872,1.550767616,0.995450134,1.776499306,1.576605297,0.994199467,1.623358552,1.459077448,0.995216284
28,11,practice,yoked,1.555144559,1.119477062,0.992178929,1.745322656,1.56297057,0.992586702,1.710312856,1.554536665,0.99615951,1.517176676,1.399976143,0.996897788
28,12,practice,yoked,1.221265231,0.840947852,0.930801765,1.695602235,1.503673526,0.987811375,1.773041484,1.588741851,0.99301386,1.660402699,1.544550978,0.992212839
28,13,practice,yoked,0.996726575,0.585984054,0.894465228,1.797722749,1.589804356,0.993324782,1.799809004,1.626840276,0.997483687,1.537415761,1.435164459,0.994714557
