index,cluster,subID,time,block,frontal_intercept,frontal_slope,frontal_rsquared,central_intercept,central_slope,central_rsquared,parietal_intercept,parietal_slope,parietal_rsquared,occipital_intercept,occipital_slope,occipital_rsquared
223,a11_prac_b02,a11,prac,b02,2.783406558,-1.154080493,0.787847071,3.305572899,-1.33663525,0.881036957,3.392740809,-1.443462308,0.966723255,3.112643023,-1.375110767,0.979994036
224,a11_prac_b03,a11,prac,b03,3.238954988,-1.35293681,0.836464365,3.553672167,-1.4570603,0.888741434,3.516064022,-1.487609693,0.954004546,3.153615035,-1.368064344,0.970758509
225,a11_prac_b04,a11,prac,b04,2.965515271,-1.21771783,0.783194015,3.493092003,-1.420150332,0.870015509,3.418677058,-1.448635101,0.943488229,3.204302743,-1.386345988,0.981973938
226,a11_prac_b05,a11,prac,b05,3.048278227,-1.24168685,0.8269273,3.435950208,-1.396895065,0.88960747,3.474350144,-1.457763381,0.953235805,3.110586525,-1.338201109,0.982280957
227,a11_prac_b06,a11,prac,b06,2.918934725,-1.244809523,0.813329412,3.136451708,-1.324707949,0.901300639,3.17779811,-1.4026769,0.973360195,3.065875566,-1.396929618,0.983628576
228,a11_prac_b07,a11,prac,b07,3.112519221,-1.287765301,0.837123833,3.610220109,-1.470137181,0.916406126,3.697895438,-1.572193775,0.978956563,3.385937127,-1.466564508,0.987620841
229,a11_prac_b08,a11,prac,b08,3.257622739,-1.349435368,0.834152592,3.693388517,-1.518482522,0.919076633,3.635761341,-1.543126134,0.975620256,3.071692993,-1.355779783,0.973335853
230,a11_prac_b09,a11,prac,b09,3.127953955,-1.295494866,0.793371284,3.466467954,-1.429548902,0.892075566,3.453335352,-1.491262409,0.977997896,3.120011251,-1.375008562,0.983008266
231,a11_prac_b10,a11,prac,b10,3.162026979,-1.326809855,0.820859129,3.568851393,-1.483839869,0.891845904,3.52599425,-1.510980687,0.960720148,3.236698637,-1.407426321,0.979967451
232,a11_prac_b11,a11,prac,b11,3.049536395,-1.288350647,0.839511454,3.418924761,-1.404727412,0.927448381,3.46879836,-1.454675727,0.962455027,3.07645188,-1.315719476,0.946100318
233,a11_prac_b12,a11,prac,b12,3.205386655,-1.317581267,0.848990774,3.822217122,-1.524039678,0.897632947,3.526794686,-1.462992437,0.941188755,3.035682805,-1.315253567,0.956589274
234,a11_prac_b13,a11,prac,b13,3.130895378,-1.34322933,0.876570132,3.526165944,-1.452522193,0.93026433,3.503180796,-1.496587116,0.970145698,3.132411801,-1.366741592,0.968629671
235,a11_prac_b14,a11,prac,b14,3.300279514,-1.385368925,0.88850527,3.639657831,-1.497611296,0.931648068,3.667428068,-1.566792139,0.963407514,3.237541147,-1.400404926,0.968915709
236,a11_prac_b15,a11,prac,b15,3.169026908,-1.330451396,0.852092259,3.722101985,-1.518115033,0.895121653,3.569588512,-1.514687668,0.950420773,3.076889261,-1.32800661,0.960599725
237,a11_prac_b16,a11,prac,b16,3.109793528,-1.315133143,0.831734266,3.697107462,-1.518385095,0.894884021,3.626949956,-1.545863383,0.952310358,3.0481921,-1.333273914,0.965089687
238,a11_prac_b17,a11,prac,b17,3.12444132,-1.309175819,0.848021777,3.577714887,-1.453045225,0.886202179,3.407506687,-1.419402027,0.935163099,2.803556151,-1.181179389,0.946644617
239,a11_prac_b18,a11,prac,b18,3.195024604,-1.348805558,0.884975156,3.683914359,-1.494139893,0.909901817,3.592793496,-1.50494434,0.93688496,3.192214121,-1.358408151,0.960608644
